#ARTIST:Hamilton
#TITLE:My Shot
#CREATOR:matthu
#BPM:300
#YEAR:2015
#VIDEO:v=lZ4UmlFNdSI
#LANGUAGE:English
#GAP:-50
#ALLKARAOKE_ID:hamilton-my-shot
#ALLKARAOKE_LASTUPDATE:2024-05-20T19:25:45.209Z
#ALLKARAOKE_ARTISTORIGIN:GB
#ALLKARAOKE_REALBPM:180
#ALLKARAOKE_VOLUME:1
#MP3:Hamilton - My Shot [DUET].mp3
* 6072 2 14 I’m 
* 6075 3 14 young, 
* 6082 2 15 scrap
* 6085 2 15 py, 
* 6088 2 15 and 
* 6092 2 15 hun
* 6095 2 15 gry 
- 6097
* 6098 2 15 And 
* 6102 2 15 I’m 
* 6105 4 15 not 
* 6113 1 15 throw
* 6115 1 15 in’ 
* 6117 1 15 a
* 6119 4 15 way 
* 6124 4 15 my 
* 6137 4 14 shot 
- 6141
* 6148 2 14 We 
* 6151 2 14 gon
* 6155 2 14 na 
* 6158 6 7 rise 
* 6167 4 14 up; 
* 6179 3 14 time 
* 6183 1 14 to 
* 6185 4 14 take 
* 6190 1 14 a 
* 6192 3 14 shot 
- 6195
* 6201 4 14 We 
* 6207 3 14 gonna 
* 6212 4 5 rise 
* 6220 3 14 up; 
* 6230 4 14 time 
* 6235 2 14 to 
* 6238 2 14 take 
* 6241 1 14 a 
* 6243 6 14 shot 
- 6249 6276
- 6276
* 6296 1 14 It’s 
* 6298 2 14 time 
* 6301 1 14 to 
* 6303 3 14 take 
* 6307 1 14 a 
* 6309 9 14 shot 
- 6318 6324
- 6324
* 6344 3 14 It’s 
* 6349 3 14 time 
* 6353 1 14 to 
* 6356 3 14 take 
* 6360 1 14 a 
* 6362 5 14 shot 
- 6367 6369
- 6369
* 6389 4 14 Time 
* 6394 1 14 to 
* 6396 1 14 take 
* 6398 1 14 a 
* 6400 8 14 shot 
- 6408
* 6427 4 14 Take 
* 6432 1 14 a 
* 6434 5 14 shot, 
* 6442 1 14 a 
* 6444 5 14 shot, 
* 6451 1 14 a 
* 6455 6 14 shot 
- 6461
* 6470 3 14 It’s 
* 6474 4 14 time 
* 6479 1 14 to 
* 6482 2 14 take 
* 6485 2 14 a 
* 6488 4 14 shot, 
* 6494 2 14 time 
* 6497 2 14 to 
* 6500 3 14 take 
* 6505 1 14 a 
* 6507 7 14 shot 
- 6514
* 6516 2 14 And 
* 6519 2 14 I 
* 6523 4 14 am 
- 6527
* 6530 3 14 Not 
* 6534 1 14 throw
* 6537 1 14 ing 
* 6539 1 14 a
* 6541 4 14 way 
* 6547 3 14 my 
- 6550
* 6554 4 14 Not 
* 6561 1 14 throw
* 6563 1 14 ing 
* 6565 1 14 a
* 6568 5 14 way 
* 6575 4 14 my 
* 6582 6 19 shot! 
- 0 833
- 833
F 853 2 14 A-
F 856 3 14 L, 
F 865 2 14 E-
F 869 3 14 X, 
F 879 2 14 A-
F 882 3 14 N, 
F 893 3 14 D, 
F 907 2 14 E-
F 911 4 14 R 
- 915
F 921 3 14 We 
F 925 3 14 are 
F 932 3 14 meant 
F 939 2 14 to 
F 943 4 14 be 
- 947 1271
- 1271
F 1291 2 14 He 
F 1294 4 14 says 
F 1299 2 14 in 
F 1301 2 14 pa
F 1304 5 14 ren
F 1311 2 14 the
F 1314 6 14 ses 
- 1320 1624
- 1624
* 1644 1 14 And 
* 1646 1 14 I’m 
* 1648 3 14 not 
* 1655 1 14 throw
* 1657 1 14 ing 
* 1660 1 14 a
* 1662 3 14 way 
* 1666 4 14 my 
* 1677 9 14 shot 
- 1686
* 1692 2 14 I 
* 1696 2 14 am 
* 1699 4 7 not 
* 1705 1 7 throw
* 1707 1 7 ing 
* 1710 1 7 a
* 1712 4 7 way 
* 1718 6 7 my 
* 1730 5 7 shot 
- 1735
* 1746 3 9 I 
* 1750 2 9 am 
* 1753 4 10 not 
* 1758 1 10 throw
* 1760 1 10 ing 
* 1762 1 10 a
* 1764 4 10 way 
* 1770 4 10 my 
* 1782 5 10 shot 
- 1787
* 1794 2 14 Hey 
* 1797 2 14 yo, 
* 1801 2 14 I’m 
* 1804 4 14 just 
* 1810 1 14 like 
* 1813 2 14 my 
* 1817 2 14 coun
* 1820 2 14 try 
- 1822
* 1824 2 14 I’m 
* 1827 4 14 young, 
* 1833 2 14 scrap
* 1836 3 14 py, 
* 1840 2 14 and 
* 1843 2 14 hung
* 1847 2 14 ry 
- 1849
* 1850 2 14 And 
* 1853 2 14 I’m 
* 1856 4 14 not 
* 1863 1 14 throw
* 1865 1 14 ing 
* 1868 1 14 a
* 1870 4 14 way 
* 1876 5 14 my 
* 1889 6 14 shot 
- 1895
* 1902 3 14 It’s 
* 1906 2 14 time 
* 1909 1 14 to 
* 1911 2 14 take 
* 1914 1 14 a 
* 1917 6 19 shot 
- 1923
F 1929 1 14 I 
F 1931 1 14 dream 
F 1933 1 14 of 
F 1937 3 14 life 
F 1942 1 14 with
F 1945 4 14 out 
F 1950 1 14 the 
F 1952 3 14 mon
F 1956 3 14 ar
F 1960 4 14 chy 
- 1964
F 1971 1 14 The 
F 1973 1 14 un
F 1976 4 14 rest 
F 1982 2 14 in 
F 1986 4 14 France 
F 1993 2 14 will 
F 1996 2 14 lead 
F 1999 2 14 to 
F 2002 2 14 \"o
F 2005 2 14 nar
F 2009 5 14 chy\" 
- 2014
F 2019 2 14 \"O
F 2022 2 14 nar
F 2024 5 14 chy?
F 2032 1 14 \" 
F 2034 1 14 How 
F 2037 2 14 you 
F 2040 3 14 say, 
F 2045 2 14 how 
F 2048 2 14 you 
F 2051 2 14 s - 
F 2054 4 14 Oh, 
F 2059 2 14 a
F 2062 3 14 nar
F 2066 4 14 chy 
- 2070
F 2078 2 14 When 
F 2081 1 14 I 
F 2083 3 14 fight 
F 2087 1 14 I 
F 2089 1 14 make 
F 2092 1 14 the 
F 2095 2 14 o
F 2098 2 14 ther 
F 2101 2 14 side 
F 2107 3 14 pa
F 2111 2 14 ni
F 2115 5 14 cky 
- 2120
F 2121 1 14 With 
F 2123 3 14 my 
: 2127 9 19 Shot 
- 2136
F 2141 1 14 Yo, 
F 2143 2 14 I’m 
F 2146 1 14 a 
F 2148 2 14 tai
F 2152 2 14 lor’s 
F 2155 2 14 ap
F 2158 3 14 pren
F 2163 6 14 tice 
- 2169
F 2172 1 14 And 
F 2175 1 14 I 
F 2177 3 14 got 
F 2183 4 14 y’all 
F 2189 3 14 knu
F 2193 2 14 ckle
F 2196 3 14 heads 
F 2200 1 14 in 
F 2202 3 14 lo
F 2206 2 14 co 
F 2210 3 14 pa
F 2215 2 14 ren
F 2219 4 14 tis 
- 2223
F 2225 2 14 I’m 
F 2228 2 14 join
F 2231 2 14 ing 
F 2234 2 14 the 
F 2238 2 14 re
F 2241 8 14 bellion 
F 2251 2 14 cuz 
F 2254 2 14 I 
F 2257 2 14 know 
F 2260 2 14 it’s 
F 2263 2 14 my 
F 2266 6 14 chance 
- 2272
F 2273 1 14 To 
F 2275 2 14 so
F 2277 2 14 cial
F 2280 3 14 ly 
F 2284 1 14 ad
F 2286 8 14 vance, 
F 2296 2 14 in
F 2299 6 14 stead 
F 2306 1 14 of 
F 2308 2 14 se
F 2311 2 14 win’ 
F 2315 2 14 some 
F 2319 5 14 pants 
- 2324
F 2327 2 14 I’m 
F 2330 2 14 gon
F 2333 1 14 na 
F 2335 2 14 take 
F 2338 2 14 a 
: 2341 6 19 Shot 
- 2347
F 2353 2 14 Eh, 
F 2356 1 14 but 
F 2359 2 14 we’ll 
F 2362 2 14 ne
F 2365 2 14 ver 
F 2368 2 14 be 
F 2371 2 14 tru
F 2374 2 14 ly 
F 2378 5 14 free 
- 2383
F 2383 5 14 Until 
F 2389 3 14 those 
F 2393 3 14 in 
F 2398 2 14 bon
F 2401 3 14 dage 
F 2405 3 14 have 
F 2409 2 14 the 
F 2412 3 14 same 
F 2416 3 14 rights 
F 2419 1 14 as 
F 2422 2 14 you 
F 2424 2 14 and 
F 2427 6 14 me 
- 2433
F 2435 2 14 You 
F 2438 2 14 and 
F 2441 4 14 I, 
F 2450 2 14 do 
F 2453 2 14 or 
F 2456 4 14 die, 
F 2464 5 14 wait 
F 2470 1 14 till 
F 2472 3 14 I 
F 2476 3 14 sal
F 2480 2 14 ly 
F 2483 2 14 in 
F 2486 2 14 on 
F 2489 2 14 a 
F 2492 3 14 stal
F 2497 2 14 li
F 2500 4 14 on 
- 2504
F 2507 2 14 With 
F 2510 2 14 the 
F 2513 3 14 first 
F 2518 3 14 black 
F 2525 2 14 bat
F 2528 3 14 ta
F 2532 3 14 li
F 2536 3 14 on 
- 2539
F 2541 1 14 Have 
F 2543 1 14 a
F 2545 2 14 not
F 2548 3 14 her 
F 2552 3 14 Shot 
- 2555
F 2560 2 14 Gen
F 2563 2 14 iu
F 2566 3 14 ses, 
F 2572 2 14 lo
F 2576 2 14 wer 
F 2579 2 14 your 
F 2582 4 14 voi
F 2588 6 14 ces 
- 2594
F 2597 2 14 You 
F 2600 6 14 keep 
F 2607 2 14 out 
F 2610 2 14 of 
F 2613 2 14 trou
F 2616 3 14 ble, 
F 2620 2 14 and 
F 2623 2 14 you 
F 2626 2 14 dou
F 2629 2 14 ble 
F 2633 2 14 your 
F 2637 2 14 choi
F 2641 6 14 ces 
- 2647
F 2651 2 14 I’m 
F 2655 2 14 with 
F 2659 3 14 you, 
F 2668 2 14 but 
F 2671 2 14 the 
F 2675 2 14 si
F 2678 3 14 tua
F 2682 4 14 tion 
F 2687 2 14 is 
F 2691 6 14 fraught 
- 2697
F 2706 3 14 You’ve 
F 2710 2 14 got 
F 2714 2 14 to 
F 2717 2 14 be 
F 2720 4 14 care
F 2725 1 14 ful
F 2727 2 14 ly 
F 2730 5 14 taught: 
- 2735
F 2737 2 14 If 
F 2740 2 14 you 
F 2743 6 14 talk, 
F 2750 2 14 you’re 
F 2753 2 14 gon
F 2756 3 14 na 
F 2760 3 14 get 
F 2765 9 14 shot 
- 2774 3336
- 3336
F 3356 2 14 Let’s 
F 3359 2 14 get 
F 3361 2 14 this 
F 3364 3 14 guy 
F 3367 2 14 in 
F 3370 3 14 front 
F 3374 2 14 of 
F 3377 2 14 a 
F 3380 8 14 crowd! 
- 3388
* 3392 1 14 I 
* 3394 2 14 am 
* 3396 5 7 not 
* 3404 2 7 throw
* 3406 1 7 ing 
* 3408 1 7 a
* 3410 4 7 way 
* 3415 6 7 my 
* 3427 7 7 shot 
- 3434
* 3442 2 9 I 
* 3446 2 9 am 
* 3449 4 10 not 
* 3455 1 10 throw
* 3457 1 10 ing 
* 3459 1 10 a
* 3462 5 10 way 
* 3468 6 10 my 
* 3481 6 10 shot 
- 3487
* 3492 2 10 Hey 
* 3495 2 10 yo, 
* 3498 2 10 I’m 
* 3502 4 12 just 
* 3508 2 12 like 
* 3511 2 12 my 
* 3515 2 12 coun
* 3518 2 12 try 
- 3520
* 3522 2 12 I’m 
* 3525 4 12 young, 
* 3531 2 12 scrap
* 3535 2 12 py, 
* 3538 2 12 and 
* 3541 2 12 hun
* 3544 2 12 gry 
- 3546
* 3548 2 12 And 
* 3551 2 12 I’m 
* 3554 3 12 not 
* 3561 1 12 throw
* 3563 1 12 ing 
* 3565 1 12 a
* 3568 4 12 way 
* 3574 5 12 my 
* 3587 5 14 shot 
- 3592
* 3601 2 14 I 
* 3604 2 14 am 
* 3607 4 7 not 
* 3614 1 7 throw
* 3617 1 7 ing 
* 3619 1 7 a
* 3621 4 7 way 
* 3626 5 7 my 
* 3639 5 7 shot 
- 3644
* 3653 2 9 I 
* 3657 2 9 am 
* 3660 4 10 not 
* 3667 1 10 throw
* 3669 1 10 ing 
* 3671 1 10 a
* 3673 4 10 way 
* 3679 5 10 my 
* 3692 5 10 shot 
- 3697
* 3703 2 10 Hey 
* 3706 2 10 yo, 
* 3709 2 10 I’m 
* 3712 4 12 just 
* 3718 2 12 like 
* 3722 2 12 my 
* 3725 2 12 coun
* 3728 2 12 try 
- 3730
* 3732 2 12 I’m 
* 3735 5 12 young, 
* 3742 2 12 scrap
* 3745 2 12 py, 
* 3749 2 12 and 
* 3752 2 12 hun
* 3756 2 12 gry 
- 3758
* 3759 2 12 And 
* 3762 2 12 I’m 
* 3765 3 12 not 
* 3772 1 12 throw
* 3774 1 12 ing 
* 3776 1 12 a
* 3779 4 12 way 
* 3785 4 12 my 
* 3792 7 14 shot 
- 3799
F 3801 2 14 E
F 3804 2 14 v’ry
F 3807 3 14 bo
F 3810 2 14 dy 
F 3814 6 14 sing! 
- 3820
* 3821 5 19 Woah 
* 3830 4 19 woah, 
* 3841 10 19 wo
* 3854 10 17 ah
* 3868 12 14 oh 
F 3884 9 14 - Hey! 
- 3893
* 3899 4 14 Wo
* 3905 12 17 ah
* 3918 7 15 oh 
F 3931 12 14 - Wooh! 
- 3943
* 3952 5 14 Wo
* 3960 10 17 ah
* 3971 7 15 oh 
F 3980 2 14 - Sing 
F 3983 1 14 let 
F 3985 4 14 ’em 
F 3990 5 14 hear 
F 3996 3 14 ya 
- 3999 4001
- 4001
F 4021 1 14 Let’s 
F 4024 4 14 go 
- 4028 4054
- 4054
F 4074 2 14 I 
F 4078 3 14 said, 
F 4082 5 14 shout 
F 4088 1 14 it 
F 4090 2 14 to 
F 4093 2 14 the 
F 4096 16 14 rooftops 
- 4112 4120
- 4120
F 4140 3 14 Said 
F 4144 2 14 to 
F 4147 2 14 the 
F 4151 15 14 rooftops 
- 4166 4174
- 4174
F 4194 2 14 Now 
F 4197 2 14 come 
F 4200 5 14 on 
- 4205
F 4221 2 14 Now 
F 4224 2 14 come 
F 4227 4 14 on, 
F 4232 2 14 let’s 
F 4235 5 14 go 
- 4240 4400
- 4400
* 4420 2 14 When 
* 4423 2 14 are 
* 4426 5 14 these 
* 4432 2 14 co
* 4435 2 14 lo
* 4438 5 14 nies 
* 4445 2 14 gon
* 4448 2 14 na 
* 4452 7 7 rise 
* 4462 6 14 up 
- 4468
* 4472 4 14 When 
* 4477 2 14 are 
* 4480 6 14 these 
* 4487 2 14 co
* 4490 2 14 lo
* 4493 6 14 nies 
* 4500 2 14 gon
* 4503 2 14 na 
* 4507 8 7 rise 
* 4518 4 14 up 
- 4522
* 4525 3 14 When 
* 4529 2 14 are 
* 4532 6 14 these 
* 4539 2 14 co
* 4542 2 14 lo
* 4545 6 14 nies 
* 4554 2 14 gon
* 4557 2 14 na 
* 4560 6 7 rise 
* 4567 3 14 up 
- 4570
* 4578 3 14 When 
* 4582 2 14 are 
* 4585 5 14 these 
* 4591 2 14 co
* 4594 2 14 lo
* 4597 7 14 nies 
* 4606 2 14 gon
* 4609 2 14 na 
F 4612 6 14 rise 
F 4619 5 14 up 
- 4624
F 4630 9 14 Rise 
F 4641 7 14 up 
- 4648 5917
- 5917
* 5937 2 14 And 
* 5940 2 14 I 
* 5943 3 14 am 
* 5949 3 7 not 
* 5954 2 7 throw
* 5957 1 7 in’ 
* 5959 1 7 a
* 5961 3 7 way 
* 5966 6 7 my 
* 5978 4 7 shot 
- 5982
* 5995 1 9 I 
* 5997 1 9 am 
* 6000 4 10 not 
* 6006 1 10 throw
* 6008 1 10 in’ 
* 6010 1 10 a
* 6013 4 10 way 
* 6018 6 10 my 
* 6031 6 10 shot 
- 6037
* 6042 2 10 Hey, 
* 6045 2 10 yo, 
* 6049 2 10 I’m 
* 6052 5 12 just 
* 6058 2 12 like 
* 6061 2 12 my 
* 6065 2 12 coun
* 6068 4 12 try 
- 6072
* 6072 2 12 I’m 
* 6075 3 12 young, 
* 6082 2 12 scrap
* 6085 2 12 py, 
* 6088 2 12 and 
* 6092 2 12 hun
* 6095 2 12 gry 
- 6097
* 6098 2 12 And 
* 6102 2 12 I’m 
* 6105 4 12 not 
* 6113 1 12 throw
* 6115 1 12 in’ 
* 6117 1 12 a
* 6119 4 12 way 
* 6124 4 12 my 
* 6137 4 14 shot 
- 6141 6142
- 6142
* 6162 3 7 Not 
* 6166 2 7 throw
* 6169 2 7 in’ 
* 6172 1 7 a
* 6174 4 7 way 
* 6180 2 7 my 
* 6188 9 7 shot 
- 6197
* 6212 3 10 Not 
* 6217 4 10 throw 
* 6222 2 10 in’ 
* 6225 1 10 a
* 6227 4 10 way 
* 6233 3 10 my 
* 6241 5 10 shot 
- 6246
* 6255 3 14 We 
* 6259 4 14 gonna 
* 6264 8 15 rise 
* 6273 7 19 up, 
* 6284 7 15 rise 
* 6293 7 19 up 
- 6300
* 6318 8 14 Rise 
* 6327 6 19 up, 
* 6338 8 14 rise 
* 6348 5 19 up 
- 6353
* 6370 9 15 Rise 
* 6381 5 19 up 
- 6386 6391
- 6391
* 6411 7 15 Rise 
* 6419 5 19 up 
- 6424 6450
- 6450
* 6470 3 14 It’s 
* 6474 4 14 time 
* 6479 1 14 to 
* 6482 2 14 take 
* 6485 2 14 a 
* 6488 4 14 shot, 
* 6494 2 14 time 
* 6498 1 14 to 
* 6502 1 14 take 
* 6505 1 14 a 
* 6507 7 14 shot 
- 6514
* 6516 2 14 And 
* 6519 2 14 I 
* 6523 4 14 am 
- 6527
* 6530 3 14 Not 
* 6534 1 14 throw
* 6537 1 14 ing 
* 6539 1 14 a
* 6541 4 14 way 
* 6547 3 14 my 
- 6550
* 6554 4 14 Not 
* 6561 1 14 throw
* 6563 1 14 ing 
* 6565 1 14 a
* 6568 5 14 way 
* 6575 4 14 my 
* 6582 6 19 shot! 
E
